name,position,minutes,points,date
Karim Mane,G,21,2,2021-01-08
Terrence Ross,G-F,18,5,2021-01-08
Mo Bamba,C,13,12,2021-01-08
Evan Fournier,G-F,0,0,2021-01-08
M. Carter-Williams,G,0,0,2021-01-08
Markelle Fultz,G,0,0,2021-01-08
Jonathan Isaac,F,0,0,2021-01-08
Chuma Okeke,F,0,0,2021-01-08
Al-Farouq Aminu,F,0,0,2021-01-08
Aaron Gordon,F,0,0,2021-01-08
P.J. Tucker,F,28,15,2021-01-08
David Nwaba,G-F,22,6,2021-01-08
Christian Wood,F,26,22,2021-01-08
James Harden,G,30,15,2021-01-08
John Wall,G,28,14,2021-01-08
Eric Gordon,G,18,5,2021-01-08
Sterling Brown,G-F,18,9,2021-01-08
D. Cousins,C,16,6,2021-01-08
Jae'Sean Tate,F,15,10,2021-01-08
Ben McLemore,G,15,15,2021-01-08
Mason Jones,G,7,2,2021-01-08
Kenyon Martin,F,5,7,2021-01-08
Bruno Caboclo,F,4,6,2021-01-08
Danuel House,F-G,0,0,2021-01-08
Brodric Thomas,G,0,0,2021-01-08
Chris Clemons,G,0,0,2021-01-08
Jeff Green,F,34,9,2021-01-08
Taurean Prince,F,24,16,2021-01-08
Jarrett Allen,C,30,12,2021-01-08
Caris LeVert,G,35,43,2021-01-08
Bruce Brown,G-F,22,2,2021-01-08
Joe Harris,G-F,28,13,2021-01-08
Landry Shamet,G,21,8,2021-01-08
DeAndre Jordan,C,17,4,2021-01-08
T. Luwawu-Cabarrot,G-F,17,3,2021-01-08
Chris Chiozza,G,7,0,2021-01-08
Kevin Durant,F,0,0,2021-01-08
Tyler Johnson,G,0,0,2021-01-08
Kyrie Irving,G,0,0,2021-01-08
Nicolas Claxton,F-C,0,0,2021-01-08
S. Dinwiddie,G,0,0,2021-01-08
Rodions Kurucs,F,0,0,2021-01-08
Reggie Perry,F-C,0,0,2021-01-08
Brandon Clarke,F-G,32,21,2021-01-08
Kyle Anderson,F-G,25,7,2021-01-08
J. Valanciunas,C,13,8,2021-01-08
Tyus Jones,G,30,11,2021-01-08
Dillon Brooks,G-F,27,24,2021-01-08
D. Melton,G,22,14,2021-01-08
Grayson Allen,G,22,10,2021-01-08
Desmond Bane,G,21,10,2021-01-08
Xavier Tillman,F,18,6,2021-01-08
Gorgui Dieng,C,13,0,2021-01-08
Tim Frazier,G,10,4,2021-01-08
Ja Morant,G,0,0,2021-01-08
Justise Winslow,F-G,0,0,2021-01-08
John Konchar,G,0,0,2021-01-08
Killian Tillie,F-C,0,0,2021-01-08
Jontay Porter,C-F,0,0,2021-01-08
Jaren Jackson,F-C,0,0,2021-01-08
Sean McDermott,F,0,0,2021-01-08
Otto Porter,F,6,2,2021-01-08
P. Williams,F,34,6,2021-01-08
Wendell Carter,C-F,25,23,2021-01-08
Coby White,G,31,14,2021-01-08
Zach LaVine,G-F,38,38,2021-01-08
Thaddeus Young,F,29,15,2021-01-08
Garrett Temple,G-F,27,9,2021-01-08
D. Valentine,G,24,5,2021-01-08
Daniel Gafford,F-C,15,0,2021-01-08
Adam Mokoka,G,6,3,2021-01-08
R. Arcidiacono,G,0,0,2021-01-08
C. Hutchison,F-G,0,0,2021-01-08
Lauri Markkanen,F-C,0,0,2021-01-08
T. Satoransky,G,0,0,2021-01-08
Luke Kornet,F-C,0,0,2021-01-08
C. Felicio,F-C,0,0,2021-01-08
Devon Dotson,G,0,0,2021-01-08
Markieff Morris,F,29,11,2021-01-08
LeBron James,F,34,28,2021-01-08
Marc Gasol,C,18,6,2021-01-08
Dennis Schroder,G,34,17,2021-01-08
Wesley Matthews,G,33,14,2021-01-08
M. Harrell,F-C,29,17,2021-01-08
T. Horton-Tucker,G,19,9,2021-01-08
Kyle Kuzma,F,16,6,2021-01-08
Alex Caruso,G,16,9,2021-01-08
Jared Dudley,F,7,0,2021-01-08
K. Antetokounmpo,F,0,0,2021-01-08
K. Caldwell-Pope,G,0,0,2021-01-08
Anthony Davis,F-C,0,0,2021-01-08
Quinn Cook,G,0,0,2021-01-08
A. McKinnie,F,0,0,2021-01-08
Devontae Cacok,F,0,0,2021-01-08
Pascal Siakam,F,33,17,2021-01-08
OG Anunoby,F,28,8,2021-01-08
Alex Len,C,4,0,2021-01-08
Fred VanVleet,G,33,34,2021-01-08
Norman Powell,G,26,22,2021-01-08
Chris Boucher,F-C,29,23,2021-01-08
Terence Davis,G,22,18,2021-01-08
Yuta Watanabe,G-F,19,3,2021-01-08
Malachi Flynn,G,16,12,2021-01-08
Stanley Johnson,F-G,15,0,2021-01-08
DeAndre' Bembry,G-F,3,2,2021-01-08
Paul Watson,G,2,2,2021-01-08
Jalen Harris,G,2,0,2021-01-08
Matt Thomas,G,2,3,2021-01-08
Patrick McCaw,G,0,0,2021-01-08
Kyle Lowry,G,0,0,2021-01-08
Aron Baynes,C-F,0,0,2021-01-08
Marvin Bagley,F,29,15,2021-01-08
Harrison Barnes,F,30,21,2021-01-08
Richaun Holmes,F,23,10,2021-01-08
De'Aaron Fox,G,24,23,2021-01-08
Buddy Hield,G,32,15,2021-01-08
T. Haliburton,G,29,15,2021-01-08
Cory Joseph,G,22,6,2021-01-08
Glenn Robinson,F,17,9,2021-01-08
Nemanja Bjelica,F,9,2,2021-01-08
Kyle Guy,G,5,3,2021-01-08
Justin James,G-F,5,2,2021-01-08
Jahmi'us Ramsey,G,5,0,2021-01-08
Robert Woodard,F,3,2,2021-01-08
Jabari Parker,F,0,0,2021-01-08
DaQuan Jeffries,G-F,0,0,2021-01-08
Chimezie Metu,F-C,0,0,2021-01-08
H. Whiteside,C,0,0,2021-01-08
Nicolas Batum,G-F,30,10,2021-01-08
Kawhi Leonard,F,34,24,2021-01-08
Serge Ibaka,F,30,19,2021-01-08
P. Beverley,G,28,7,2021-01-08
Paul George,F,39,25,2021-01-08
Luke Kennard,G,17,8,2021-01-08
Marcus Morris,F,17,2,2021-01-08
Lou Williams,G,16,6,2021-01-08
Ivica Zubac,C,16,2,2021-01-08
Reggie Jackson,G,6,0,2021-01-08
Daniel Oturu,C,0,0,2021-01-08
M. Kabengele,F-C,0,0,2021-01-08
Amir Coffey,G-F,0,0,2021-01-08
Terance Mann,G-F,0,2,2021-01-08
Jay Scrubb,G,0,0,2021-01-08
P. Patterson,F,0,0,2021-01-08
Draymond Green,F,30,4,2021-01-08
Andrew Wiggins,F,28,16,2021-01-08
James Wiseman,C,15,9,2021-01-08
Stephen Curry,G,36,38,2021-01-08
Kelly Oubre,F-G,21,6,2021-01-08
Damion Lee,G-F,21,8,2021-01-08
Eric Paschall,F,20,12,2021-01-08
Kent Bazemore,G-F,19,6,2021-01-08
Mychal Mulder,G,18,6,2021-01-08
Brad Wanamaker,G,16,8,2021-01-08
Kevon Looney,F,11,2,2021-01-08
J. Toscano-Anderson,F,0,0,2021-01-08
Klay Thompson,G,0,0,2021-01-08
Marquese Chriss,F,0,0,2021-01-08
Alen Smailagic,F,0,0,2021-01-08
Jordan Poole,G,0,0,2021-01-08
Nico Mannion,G,0,0,2021-01-08
Paul Millsap,F,21,9,2021-01-09
Will Barton,G,24,14,2021-01-09
Nikola Jokic,C,29,15,2021-01-09
Jamal Murray,G,28,14,2021-01-09
Gary Harris,G,28,21,2021-01-09
Monte Morris,G,22,12,2021-01-09
JaMychal Green,F-C,21,12,2021-01-09
PJ Dozier,G-F,18,5,2021-01-09
F. Campazzo,G,17,3,2021-01-09
I. Hartenstein,C-F,14,6,2021-01-09
R.J. Hampton,G,5,2,2021-01-09
Markus Howard,G,2,0,2021-01-09
Vlatko Cancar,F,2,0,2021-01-09
Zeke Nnaji,F-C,2,2,2021-01-09
Bol Bol,C-F,2,0,2021-01-09
Michael Porter,F,0,0,2021-01-09
G. Whittington,F,0,0,2021-01-09
Danny Green,G,36,11,2021-01-09
Dakota Mathias,PG,41,12,2021-01-09
Dwight Howard,C-F,23,11,2021-01-09
Tyrese Maxey,G,43,39,2021-01-09
Isaiah Joe,G,44,13,2021-01-09
Paul Reed,F,26,6,2021-01-09
Tony Bradley,C-F,24,11,2021-01-09
Seth Curry,G,0,0,2021-01-09
Tobias Harris,F,0,0,2021-01-09
T. Ferguson,G,0,0,2021-01-09
Furkan Korkmaz,G-F,0,0,2021-01-09
Ben Simmons,G-F,0,0,2021-01-09
Joel Embiid,C-F,0,0,2021-01-09
Shake Milton,G-F,0,0,2021-01-09
Vincent Poirier,C-F,0,0,2021-01-09
Mike Scott,F,0,0,2021-01-09
M. Thybulle,G-F,0,0,2021-01-09
Kelly Olynyk,F-C,31,18,2021-01-09
Jimmy Butler,F,36,26,2021-01-09
Bam Adebayo,C-F,21,9,2021-01-09
Tyler Herro,G,37,31,2021-01-09
Duncan Robinson,F,34,7,2021-01-09
Goran Dragic,G,19,21,2021-01-09
Avery Bradley,G,18,5,2021-01-09
Andre Iguodala,F-G,13,3,2021-01-09
P. Achiuwa,F,12,7,2021-01-09
Meyers Leonard,F-C,7,1,2021-01-09
KZ Okpala,F-G,7,0,2021-01-09
Gabe Vincent,G,0,0,2021-01-09
M. Harkless,F-G,0,0,2021-01-09
Kendrick Nunn,G,0,0,2021-01-09
Max Strus,G-F,0,0,2021-01-09
Udonis Haslem,F,0,0,2021-01-09
Chris Silva,F,0,0,2021-01-09
Rui Hachimura,F,25,17,2021-01-09
Deni Avdija,F,31,20,2021-01-09
Thomas Bryant,C-F,1,0,2021-01-09
Raul Neto,G,20,6,2021-01-09
Jerome Robinson,G,23,12,2021-01-09
Ish Smith,G,28,9,2021-01-09
G. Mathews,G,23,22,2021-01-09
Davis Bertans,F,22,5,2021-01-09
Troy Brown,G-F,22,7,2021-01-09
Robin Lopez,C,21,13,2021-01-09
Moritz Wagner,F-C,19,13,2021-01-09
Isaac Bonga,G,0,0,2021-01-09
R. Westbrook,G,0,0,2021-01-09
Cassius Winston,G,0,0,2021-01-09
A. Pasecniks,C-F,0,0,2021-01-09
Anthony Gill,F,0,0,2021-01-09
Bradley Beal,G,0,0,2021-01-09
Jae Crowder,F,26,10,2021-01-09
Mikal Bridges,F,35,34,2021-01-09
Deandre Ayton,C,33,8,2021-01-09
Chris Paul,G,33,15,2021-01-09
Devin Booker,G,36,25,2021-01-09
Cameron Johnson,F,29,16,2021-01-09
Jevon Carter,G,16,10,2021-01-09
Dario Saric,F-C,16,4,2021-01-09
L. Galloway,G,12,3,2021-01-09
Jalen Smith,F-C,0,0,2021-01-09
Cameron Payne,G,0,0,2021-01-09
Damian Jones,C,0,0,2021-01-09
T. Alexander,G,0,0,2021-01-09
E'Twaun Moore,G,0,0,2021-01-09
Frank Kaminsky,F-C,0,0,2021-01-09
Abdel Nader,F,0,0,2021-01-09
D. Sabonis,F-C,41,28,2021-01-09
Aaron Holiday,G,24,3,2021-01-09
Myles Turner,C-F,36,15,2021-01-09
Malcolm Brogdon,G,39,22,2021-01-09
Victor Oladipo,G,30,16,2021-01-09
Justin Holiday,F-G,28,17,2021-01-09
Doug McDermott,F,23,12,2021-01-09
JaKarr Sampson,F,7,0,2021-01-09
Edmond Sumner,G,6,4,2021-01-09
Cassius Stanley,G,2,0,2021-01-09
Brian Bowen,F-G,0,0,2021-01-09
Goga Bitadze,C-F,0,0,2021-01-09
T.J. Warren,F,0,0,2021-01-09
Jalen Lecque,G,0,0,2021-01-09
Jeremy Lamb,G-F,0,0,2021-01-09
T.J. McConnell,G,0,0,2021-01-09
Kelan Martin,F,0,0,2021-01-09
John Collins,F-C,30,12,2021-01-09
De'Andre Hunter,F-G,33,20,2021-01-09
Clint Capela,C,27,7,2021-01-09
Trae Young,G,37,15,2021-01-09
B. Bogdanovic,G,10,5,2021-01-09
Cam Reddish,F-G,33,21,2021-01-09
Kevin Huerter,G-F,32,11,2021-01-09
Solomon Hill,F,19,9,2021-01-09
Brandon Goodwin,G,12,5,2021-01-09
Nathan Knight,F-C,2,0,2021-01-09
Skylar Mays,G,0,0,2021-01-09
Rajon Rondo,G,0,0,2021-01-09
D. Gallinari,F,0,0,2021-01-09
Onyeka Okongwu,F-C,0,0,2021-01-09
Kris Dunn,G,0,0,2021-01-09
Bruno Fernando,F-C,0,0,2021-01-09
Tony Snell,G,0,0,2021-01-09
P.J. Washington,F,36,22,2021-01-09
Gordon Hayward,F,35,13,2021-01-09
Bismack Biyombo,C,21,4,2021-01-09
Devonte' Graham,G,32,9,2021-01-09
Terry Rozier,G,35,23,2021-01-09
LaMelo Ball,G,31,22,2021-01-09
Miles Bridges,F,25,2,2021-01-09
Caleb Martin,F,17,15,2021-01-09
Cody Martin,F,5,3,2021-01-09
Grant Riller,G,0,0,2021-01-09
Nate Darling,G,0,0,2021-01-09
Cody Zeller,F-C,0,0,2021-01-09
Nick Richards,C,0,0,2021-01-09
Malik Monk,G,0,0,2021-01-09
Jalen McDaniels,F-C,0,0,2021-01-09
Vernon Carey,F-C,0,0,2021-01-09
Keldon Johnson,F-G,41,17,2021-01-09
DeMar DeRozan,G-F,43,38,2021-01-09
L. Aldridge,C-F,32,10,2021-01-09
Dejounte Murray,G,40,22,2021-01-09
Lonnie Walker,G-F,27,7,2021-01-09
Patty Mills,G,30,21,2021-01-09
Rudy Gay,F-G,16,9,2021-01-09
Jakob Poeltl,C,16,1,2021-01-09
Devin Vassell,G-F,14,0,2021-01-09
Drew Eubanks,F-C,0,0,2021-01-09
Derrick White,G,0,0,2021-01-09
Q. Weatherspoon,G,0,0,2021-01-09
K. Bates-Diop,F,0,0,2021-01-09
Luka Samanic,F,0,0,2021-01-09
Trey Lyles,F,0,0,2021-01-09
Tre Jones,G,0,0,2021-01-09
J. Hernangomez,F,22,5,2021-01-09
Jarrett Culver,G-F,30,10,2021-01-09
K. Towns,C-F,37,25,2021-01-09
D. Russell,G,37,16,2021-01-09
Malik Beasley,G,40,29,2021-01-09
Ricky Rubio,G,33,6,2021-01-09
Anthony Edwards,G,30,13,2021-01-09
Naz Reid,C-F,16,16,2021-01-09
J. Vanderbilt,F,12,2,2021-01-09
Jake Layman,F,4,0,2021-01-09
J. McLaughlin,G,0,0,2021-01-09
Ashton Hagans,G-F,0,0,2021-01-09
Josh Okogie,G,0,0,2021-01-09
Jaylen Nowell,G,0,0,2021-01-09
Jaden McDaniels,F,0,0,2021-01-09
Ed Davis,C-F,0,0,2021-01-09
Larry Nance,F-C,39,17,2021-01-09
Cedi Osman,F,30,9,2021-01-09
Andre Drummond,C,41,26,2021-01-09
Damyean Dotson,G,41,21,2021-01-09
Isaac Okoro,F-G,33,4,2021-01-09
JaVale McGee,C-F,17,4,2021-01-09
Dean Wade,F-C,14,7,2021-01-09
Lamar Stevens,F,11,0,2021-01-09
Thon Maker,F-C,10,2,2021-01-09
M. Dellavedova,G,0,0,2021-01-09
Collin Sexton,G,0,0,2021-01-09
Dylan Windler,G-F,0,0,2021-01-09
Kevin Love,F-C,0,0,2021-01-09
Dante Exum,G,0,0,2021-01-09
Darius Garland,G,0,0,2021-01-09
Kevin Porter,G-F,0,0,2021-01-09
Marques Bolden,C,0,0,2021-01-09
Bobby Portis,F,33,17,2021-01-09
Khris Middleton,F,35,27,2021-01-09
Brook Lopez,C,34,7,2021-01-09
Jrue Holiday,G,36,15,2021-01-09
D. DiVincenzo,G,26,11,2021-01-09
D.J. Augustin,G,20,5,2021-01-09
D.J. Wilson,F,15,12,2021-01-09
Bryn Forbes,G,13,0,2021-01-09
T. Antetokounmpo,F,12,0,2021-01-09
Pat Connaughton,G,10,6,2021-01-09
Torrey Craig,F,0,0,2021-01-09
G. Antetokounmpo,F,0,0,2021-01-09
Jaylen Adams,G,0,0,2021-01-09
Jordan Nwora,F,0,0,2021-01-09
Mamadi Diakite,F,0,0,2021-01-09
Sam Merrill,G,0,0,2021-01-09
Aaron Gordon,F,35,16,2021-01-09
James Ennis,F,20,4,2021-01-09
Nikola Vucevic,C,33,30,2021-01-09
Cole Anthony,G,32,8,2021-01-09
Dwayne Bacon,G-F,27,9,2021-01-09
Terrence Ross,G-F,32,11,2021-01-09
Khem Birch,C,23,12,2021-01-09
Gary Clark,F,21,6,2021-01-09
Jordan Bone,G,12,2,2021-01-09
Evan Fournier,G-F,0,0,2021-01-09
Markelle Fultz,G,0,0,2021-01-09
Chuma Okeke,F,0,0,2021-01-09
Jonathan Isaac,F,0,0,2021-01-09
Al-Farouq Aminu,F,0,0,2021-01-09
M. Carter-Williams,G,0,0,2021-01-09
Karim Mane,G,0,0,2021-01-09
Mo Bamba,C,0,0,2021-01-09
Maxi Kleber,F,23,5,2021-01-09
Josh Green,G,15,0,2021-01-09
W. Cauley-Stein,C,23,6,2021-01-09
Luka Doncic,F-G,34,20,2021-01-09
Tim Hardaway,G-F,40,36,2021-01-09
Wes Iwundu,F,32,0,2021-01-09
James Johnson,F,26,12,2021-01-09
Trey Burke,G,21,29,2021-01-09
Dwight Powell,F-C,20,4,2021-01-09
B. Marjanovic,C,1,0,2021-01-09
Josh Richardson,G,0,0,2021-01-09
Jalen Brunson,G,0,0,2021-01-09
D. Finney-Smith,F,0,0,2021-01-09
K. Porzingis,F-C,0,0,2021-01-09
Nate Hinton,G-F,0,0,2021-01-09
Tyrell Terry,G,0,0,2021-01-09
Tyler Bey,F,0,0,2021-01-09
R. Covington,F,27,6,2021-01-09
Derrick Jones,F,20,9,2021-01-09
Jusuf Nurkic,C,23,10,2021-01-09
Damian Lillard,G,29,17,2021-01-09
CJ McCollum,G,29,37,2021-01-09
Gary Trent,G-F,30,10,2021-01-09
Carmelo Anthony,F,21,13,2021-01-09
Enes Kanter,C,19,11,2021-01-09
Rodney Hood,G-F,14,0,2021-01-09
Anfernee Simons,G,6,6,2021-01-09
Harry Giles,F-C,5,0,2021-01-09
Nassir Little,F-G,5,3,2021-01-09
CJ Elleby,F-G,5,3,2021-01-09
Zach Collins,F-C,0,0,2021-01-09
Keljin Blevins,G,0,0,2021-01-09
Harrison Barnes,F,32,10,2021-01-09
T. Haliburton,G,30,12,2021-01-09
Marvin Bagley,F,24,15,2021-01-09
De'Aaron Fox,G,25,10,2021-01-09
Buddy Hield,G,25,8,2021-01-09
H. Whiteside,C,23,11,2021-01-09
Glenn Robinson,F,22,11,2021-01-09
Cory Joseph,G,18,8,2021-01-09
Justin James,G-F,12,1,2021-01-09
Nemanja Bjelica,F,11,4,2021-01-09
Chimezie Metu,F-C,6,6,2021-01-09
Jahmi'us Ramsey,G,3,0,2021-01-09
Robert Woodard,F,2,3,2021-01-09
Jabari Parker,F,0,0,2021-01-09
Richaun Holmes,F,0,0,2021-01-09
DaQuan Jeffries,G-F,0,0,2021-01-09
Kyle Guy,G,0,0,2021-01-09
P. Achiuwa,F,27,10,2021-01-14
Tyler Herro,G,31,17,2021-01-14
Gabe Vincent,G,34,21,2021-01-14
Duncan Robinson,F,33,22,2021-01-14
Kelly Olynyk,F-C,38,12,2021-01-14
Max Strus,G-F,27,11,2021-01-14
Andre Iguodala,F-G,25,2,2021-01-14
Chris Silva,F,20,13,2021-01-14
Goran Dragic,G,0,0,2021-01-14
M. Harkless,F-G,0,0,2021-01-14
Udonis Haslem,F,0,0,2021-01-14
KZ Okpala,F-G,0,0,2021-01-14
Kendrick Nunn,G,0,0,2021-01-14
Meyers Leonard,F-C,0,0,2021-01-14
Bam Adebayo,C-F,0,0,2021-01-14
Avery Bradley,G,0,0,2021-01-14
Jimmy Butler,F,0,0,2021-01-14
Joel Embiid,C-F,23,9,2021-01-14
Danny Green,G,25,12,2021-01-14
Tobias Harris,F,29,18,2021-01-14
Ben Simmons,G-F,34,10,2021-01-14
Tyrese Maxey,G,25,15,2021-01-14
Shake Milton,G-F,27,31,2021-01-14
Dwight Howard,C-F,22,8,2021-01-14
Isaiah Joe,G,19,12,2021-01-14
M. Thybulle,G-F,17,8,2021-01-14
Mike Scott,F,5,0,2021-01-14
Paul Reed,F,2,2,2021-01-14
Tony Bradley,C-F,2,0,2021-01-14
Dakota Mathias,PG,2,0,2021-01-14
T. Ferguson,G,2,0,2021-01-14
Seth Curry,G,0,0,2021-01-14
Vincent Poirier,C-F,0,0,2021-01-14
Furkan Korkmaz,G-F,0,0,2021-01-14
Bismack Biyombo,C,24,10,2021-01-14
P.J. Washington,F,33,20,2021-01-14
Caleb Martin,F,24,5,2021-01-14
Devonte' Graham,G,37,15,2021-01-14
Terry Rozier,G,37,22,2021-01-14
Miles Bridges,F,28,12,2021-01-14
LaMelo Ball,G,26,14,2021-01-14
Malik Monk,G,22,10,2021-01-14
Cody Martin,F,5,0,2021-01-14
Grant Riller,G,0,0,2021-01-14
Nate Darling,G,0,0,2021-01-14
Gordon Hayward,F,0,0,2021-01-14
Cody Zeller,F-C,0,0,2021-01-14
Jalen McDaniels,F-C,0,0,2021-01-14
Nick Richards,C,0,0,2021-01-14
Vernon Carey,F-C,0,0,2021-01-14
Aron Baynes,C-F,7,2,2021-01-14
OG Anunoby,F,33,13,2021-01-14
Pascal Siakam,F,37,15,2021-01-14
Fred VanVleet,G,35,17,2021-01-14
Kyle Lowry,G,34,16,2021-01-14
Chris Boucher,F-C,29,25,2021-01-14
Stanley Johnson,F-G,20,6,2021-01-14
Norman Powell,G,19,11,2021-01-14
Yuta Watanabe,G-F,14,3,2021-01-14
Malachi Flynn,G,6,3,2021-01-14
Alex Len,C,0,0,2021-01-14
Patrick McCaw,G,0,0,2021-01-14
Jalen Harris,G,0,0,2021-01-14
DeAndre' Bembry,G-F,0,0,2021-01-14
Paul Watson,G,0,0,2021-01-14
Terence Davis,G,0,0,2021-01-14
Matt Thomas,G,0,0,2021-01-14
Christian Wood,F,34,27,2021-01-14
Ben McLemore,G,21,3,2021-01-14
Sterling Brown,G-F,36,23,2021-01-14
Jae'Sean Tate,F,33,13,2021-01-14
P.J. Tucker,F,35,10,2021-01-14
David Nwaba,G-F,30,9,2021-01-14
D. Cousins,C,18,9,2021-01-14
Kenyon Martin,F,15,6,2021-01-14
Mason Jones,G,14,9,2021-01-14
Danuel House,F-G,0,0,2021-01-14
Caris LeVert,G,0,0,2021-01-14
Eric Gordon,G,0,0,2021-01-14
Chris Clemons,G,0,0,2021-01-14
John Wall,G,0,0,2021-01-14
Dante Exum,G,0,0,2021-01-14
Brodric Thomas,G,0,0,2021-01-14
Rodions Kurucs,F,0,0,2021-01-14
L. Aldridge,C-F,30,11,2021-01-14
Keldon Johnson,F-G,31,29,2021-01-14
DeMar DeRozan,G-F,34,13,2021-01-14
Dejounte Murray,G,35,10,2021-01-14
Lonnie Walker,G-F,25,16,2021-01-14
Patty Mills,G,27,7,2021-01-14
Devin Vassell,G-F,22,12,2021-01-14
Rudy Gay,F-G,17,5,2021-01-14
Jakob Poeltl,C,15,2,2021-01-14
Drew Eubanks,F-C,0,0,2021-01-14
Q. Weatherspoon,G,0,0,2021-01-14
K. Bates-Diop,F,0,0,2021-01-14
Derrick White,G,0,0,2021-01-14
Tre Jones,G,0,0,2021-01-14
Trey Lyles,F,0,0,2021-01-14
Luka Samanic,F,0,0,2021-01-14
Myles Turner,C-F,37,11,2021-01-14
Malcolm Brogdon,G,34,25,2021-01-14
D. Sabonis,F-C,38,23,2021-01-14
Justin Holiday,F-G,25,11,2021-01-14
Edmond Sumner,G,19,7,2021-01-14
Doug McDermott,F,25,16,2021-01-14
Aaron Holiday,G,21,6,2021-01-14
T.J. McConnell,G,21,4,2021-01-14
JaKarr Sampson,F,12,3,2021-01-14
Kelan Martin,F,2,3,2021-01-14
Cassius Stanley,G,2,2,2021-01-14
Victor Oladipo,G,0,0,2021-01-14
Jeremy Lamb,G-F,0,0,2021-01-14
Goga Bitadze,C-F,0,0,2021-01-14
T.J. Warren,F,0,0,2021-01-14
Jalen Lecque,G,0,0,2021-01-14
Brian Bowen,F-G,0,0,2021-01-14
Jusuf Nurkic,C,20,5,2021-01-14
R. Covington,F,26,3,2021-01-14
Damian Lillard,G,35,22,2021-01-14
Derrick Jones,F,21,9,2021-01-14
CJ McCollum,G,34,22,2021-01-14
Gary Trent,G-F,24,7,2021-01-14
Carmelo Anthony,F,21,10,2021-01-14
Enes Kanter,C,15,4,2021-01-14
Harry Giles,F-C,11,2,2021-01-14
Rodney Hood,G-F,10,0,2021-01-14
Anfernee Simons,G,9,0,2021-01-14
Nassir Little,F-G,4,0,2021-01-14
CJ Elleby,F-G,4,3,2021-01-14
Keljin Blevins,G,0,0,2021-01-14
Zach Collins,F-C,0,0,2021-01-14
James Wiseman,C,27,18,2021-01-14
Stephen Curry,G,36,35,2021-01-14
Kelly Oubre,F-G,30,14,2021-01-14
Andrew Wiggins,F,35,16,2021-01-14
Draymond Green,F,25,1,2021-01-14
Eric Paschall,F,20,8,2021-01-14
Damion Lee,G-F,18,2,2021-01-14
Brad Wanamaker,G,16,3,2021-01-14
Kent Bazemore,G-F,10,4,2021-01-14
Kevon Looney,F,9,0,2021-01-14
Mychal Mulder,G,6,3,2021-01-14
Jordan Poole,G,1,0,2021-01-14
Nico Mannion,G,0,0,2021-01-14
J. Toscano-Anderson,F,0,0,2021-01-14
Marquese Chriss,F,0,0,2021-01-14
Klay Thompson,G,0,0,2021-01-14
Alen Smailagic,F,0,0,2021-01-14
Nikola Jokic,C,35,23,2021-01-14
Bol Bol,C-F,9,4,2021-01-14
Paul Millsap,F,23,12,2021-01-14
Jamal Murray,G,37,17,2021-01-14
Will Barton,G,32,17,2021-01-14
Monte Morris,G,32,11,2021-01-14
JaMychal Green,F-C,28,15,2021-01-14
PJ Dozier,G-F,22,10,2021-01-14
F. Campazzo,G,12,3,2021-01-14
I. Hartenstein,C-F,6,2,2021-01-14
Michael Porter,F,0,0,2021-01-14
G. Whittington,F,0,0,2021-01-14
Zeke Nnaji,F-C,0,0,2021-01-14
Gary Harris,G,0,0,2021-01-14
Vlatko Cancar,F,0,0,2021-01-14
R.J. Hampton,G,0,0,2021-01-14
Markus Howard,G,0,0,2021-01-14
Isaiah Roby,F,26,10,2021-01-19
Luguentz Dort,G,24,20,2021-01-19
Darius Bazley,F-G,23,12,2021-01-19
George Hill,G,21,6,2021-01-19
S. Gilgeous-Alexander,G-F,27,14,2021-01-19
A. Pokusevski,C,24,0,2021-01-19
Theo Maledon,G,20,7,2021-01-19
Hamidou Diallo,G,18,8,2021-01-19
Mike Muscala,F-C,14,3,2021-01-19
Josh Hall,F,13,6,2021-01-19
Justin Jackson,F,7,9,2021-01-19
Darius Miller,F,6,0,2021-01-19
K. Williams,G-F,6,0,2021-01-19
Moses Brown,C,5,6,2021-01-19
Trevor Ariza,F,0,0,2021-01-19
Al Horford,C-F,0,0,2021-01-19
Ty Jerome,G-F,0,0,2021-01-19
Nikola Jokic,C,28,27,2021-01-19
Paul Millsap,F,26,13,2021-01-19
Jamal Murray,G,20,5,2021-01-19
Gary Harris,G,25,11,2021-01-19
Will Barton,G,24,13,2021-01-19
Monte Morris,G,21,15,2021-01-19
PJ Dozier,G-F,19,11,2021-01-19
F. Campazzo,G,18,3,2021-01-19
JaMychal Green,F-C,16,10,2021-01-19
I. Hartenstein,C-F,12,5,2021-01-19
R.J. Hampton,G,6,2,2021-01-19
Bol Bol,C-F,6,2,2021-01-19
Zeke Nnaji,F-C,5,0,2021-01-19
Vlatko Cancar,F,4,0,2021-01-19
Markus Howard,G,3,2,2021-01-19
Michael Porter,F,0,0,2021-01-19
G. Whittington,F,0,0,2021-01-19
Steven Adams,C,23,6,2021-01-19
Eric Bledsoe,G,24,9,2021-01-19
Zion Williamson,F,35,32,2021-01-19
Lonzo Ball,G,23,7,2021-01-19
Brandon Ingram,F,35,17,2021-01-19
N. Alexander-Walker,G,30,9,2021-01-19
Josh Hart,G,25,8,2021-01-19
Jaxson Hayes,C-F,15,2,2021-01-19
JJ Redick,G,15,6,2021-01-19
Kira Lewis,G,3,4,2021-01-19
S. Thornwell,G,2,0,2021-01-19
