team,name,position,passing,rushing,receiving,date
NYG,Evan Engram,TE,0,0,9,2020-09-10
TEN,Ryan Tannehill,QB,249,14,0,2020-09-10
TEN,Derrick Henry,RB,0,116,15,2020-09-10
TEN,Corey Davis,WR,0,0,101,2020-09-10
TEN,A.J. Brown,WR,0,0,39,2020-09-10
TEN,Jonnu Smith,TE,0,0,36,2020-09-10
TEN,MyCole Pruitt,TE,0,0,1,2020-09-10
DEN,Drew Lock,QB,216,5,0,2020-09-10
DEN,Melvin Gordon,RB,0,78,8,2020-09-10
DEN,Phillip Lindsay,RB,0,24,11,2020-09-10
DEN,Noah Fant,TE,0,0,81,2020-09-10
DEN,Tim Patrick,WR,0,0,29,2020-09-10
DEN,DaeSean Hamilton,WR,0,0,18,2020-09-10
CIN,Joe Burrow,QB,316,19,0,2020-09-10
CIN,Joe Mixon,HB,0,46,40,2020-09-10
CIN,Tyler Boyd,WR,0,0,72,2020-09-10
CIN,C.J. Uzomah,TE,0,0,42,2020-09-10
CIN,Tee Higgins,WR,0,0,35,2020-09-10
CIN,A.J. Green,WR,0,0,29,2020-09-10
CLE,Baker Mayfield,QB,219,5,0,2020-09-10
CLE,Nick Chubb,RB,0,124,9,2020-09-10
CLE,Odell Beckham Jr.,WR,0,0,74,2020-09-10
CLE,Jarvis Landry,WR,0,0,46,2020-09-10
CLE,Austin Hooper,TE,0,0,22,2020-09-10
CLE,Andy Janovich,FB,0,0,0,2020-09-10
SFO,Jimmy Garoppolo,QB,131,0,0,2020-09-10
SFO,Raheem Mostert,RB,0,92,15,2020-09-10
SFO,Kendrick Bourne,WR,0,0,67,2020-09-10
SFO,Brandon Aiyuk,WR,0,0,21,2020-09-10
SFO,Kyle Juszczyk,FB,0,0,6,2020-09-10
SFO,Ross Dwelley,TE,0,0,5,2020-09-10
NYJ,Sam Darnold,QB,179,7,0,2020-09-10
NYJ,Frank Gore,RB,0,63,0,2020-09-10
NYJ,Chris Hogan,WR,0,0,75,2020-09-10
NYJ,Breshad Perriman,WR,0,0,12,2020-09-10
NYJ,Chris Herndon,TE,0,0,5,2020-09-10
DEN,Drew Lock,QB,20,0,0,2020-09-10
DEN,Melvin Gordon,RB,0,70,14,2020-09-10
DEN,Courtland Sutton,WR,0,0,66,2020-09-10
DEN,Jerry Jeudy,WR,0,0,62,2020-09-10
DEN,Noah Fant,TE,0,0,57,2020-09-10
DEN,Tim Patrick,WR,0,0,24,2020-09-10
PIT,Ben Roethlisberger,QB,311,-2,0,2020-09-10
PIT,James Conner,RB,0,106,15,2020-09-10
PIT,Diontae Johnson,WR,0,0,92,2020-09-10
PIT,JuJu Smith-Schuster,WR,0,0,48,2020-09-10
PIT,Eric Ebron,TE,0,0,43,2020-09-10
PIT,Vance McDonald,TE,0,0,3,2020-09-10
CAR,Teddy Bridgewater,QB,367,0,0,2020-09-10
CAR,Christian McCaffrey,RB,0,59,29,2020-09-10
CAR,Jeremy Chinn,S,0,1,0,2020-09-10
CAR,D.J. Moore,WR,0,0,120,2020-09-10
CAR,Robby Anderson,WR,0,0,109,2020-09-10
CAR,Chris Manhertz,TE,0,0,8,2020-09-10
TAM,Tom Brady,QB,217,0,0,2020-09-10
TAM,Ronald Jones II,RB,0,23,4,2020-09-10
TAM,Scott Miller,WR,0,1,11,2020-09-10
TAM,Mike Evans,WR,0,0,104,2020-09-10
TAM,Justin Watson,WR,0,0,48,2020-09-10
TAM,Rob Gronkowski,TE,0,0,0,2020-09-10
DET,Matthew Stafford,QB,244,4,0,2020-09-10
DET,Kerryon Johnson,RB,0,32,0,2020-09-10
DET,T.J. Hockenson,TE,0,0,62,2020-09-10
DET,Marvin Hall,WR,0,0,24,2020-09-10
DET,Marvin Jones,WR,0,0,23,2020-09-10
GNB,Aaron Rodgers,QB,240,12,-6,2020-09-10
GNB,Aaron Jones,RB,0,168,68,2020-09-10
GNB,Allen Lazard,WR,0,0,45,2020-09-10
GNB,Davante Adams,WR,0,0,36,2020-09-10
GNB,Robert Tonyan,TE,0,0,25,2020-09-10
GNB,Marcedes Lewis,TE,0,0,4,2020-09-10
NYG,Daniel Jones,QB,241,21,0,2020-09-10
NYG,Saquon Barkley,RB,0,28,0,2020-09-10
NYG,Sterling Shepard,WR,0,6,29,2020-09-10
NYG,Evan Engram,TE,0,0,65,2020-09-10
NYG,Darius Slayton,WR,0,0,33,2020-09-10
NYG,Kaden Smith,TE,0,0,-1,2020-09-10
CHI,Mitchell Trubisky,QB,190,16,0,2020-09-10
CHI,David Montgomery,RB,0,82,45,2020-09-10
CHI,Darnell Mooney,WR,0,0,36,2020-09-10
CHI,Allen Robinson,WR,0,0,33,2020-09-10
CHI,Jimmy Graham,TE,0,0,18,2020-09-10
CHI,Bobby Massie,OL,0,0,4,2020-09-10
CHI,Demetrius Harris,TE,0,0,0,2020-09-10
JAX,Gardner Minshew II,QB,339,19,0,2020-09-10
JAX,James Robinson,RB,0,102,18,2020-09-10
JAX,DJ Chark,WR,0,0,84,2020-09-10
JAX,James O'Shaughnessy,TE,0,0,40,2020-09-10
JAX,Tyler Eifert,TE,0,0,36,2020-09-10
TEN,Ryan Tannehill,QB,239,12,0,2020-09-10
TEN,Derrick Henry,RB,0,84,0,2020-09-10
TEN,Jonnu Smith,TE,0,0,84,2020-09-10
TEN,Corey Davis,WR,0,0,36,2020-09-10
ATL,Matt Ryan,QB,273,16,0,2020-09-10
ATL,Russell Gage,WR,0,0,46,2020-09-10
ATL,Todd Gurley,RB,0,61,0,2020-09-10
ATL,Calvin Ridley,WR,0,0,109,2020-09-10
ATL,Hayden Hurst,TE,0,0,72,2020-09-10
ATL,Julio Jones,WR,0,0,24,2020-09-10
DAL,Dak Prescott,QB,450,18,0,2020-09-10
DAL,Ezekiel Elliott,RB,0,89,33,2020-09-10
DAL,CeeDee Lamb,WR,0,9,106,2020-09-10
DAL,Tony Pollard,RB,0,6,3,2020-09-10
DAL,Darian Thompson,S,0,3,0,2020-09-10
DAL,Amari Cooper,WR,0,0,100,2020-09-10
DAL,Michael Gallup,WR,0,0,58,2020-09-10
BUF,Josh Allen,QB,415,19,0,2020-09-10
BUF,Devin Singletary,RB,0,56,20,2020-09-10
BUF,Stefon Diggs,WR,0,0,153,2020-09-10
BUF,John Brown,WR,0,0,82,2020-09-10
BUF,Cole Beasley,WR,0,0,70,2020-09-10
BUF,Dawson Knox,TE,0,0,36,2020-09-10
MIA,Ryan Fitzpatrick,QB,328,12,0,2020-09-10
MIA,Jordan Howard,RB,0,4,0,2020-09-10
MIA,Mike Gesicki,TE,0,0,130,2020-09-10
